,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Projects,Expected Start Date,Field(s) of Research,Fields,Job Description,Sponsoring Researcher,"INFO SESSION: September 26, 2025 1:30pm – 2:30pm ET",Project,Priority Application Deadline,Sponsoring Researchers,First Review Date,Start Date,,Sponsoring researchers,Fields of research,Deadline/First Review Date,Job Number,Visa,Sponsoring Institution(s),Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Research Scope,Term,Group Specialization,Field of Research,Project Scope,Next review date,Time Period,Note,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Priority Consideration Review Date,Deadline/First review date,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID
11,Research Professional-Michael Greenstone,https://bit.ly/3Iezbra,Professor Michael Greenstone ,Energy Policy Institute at the University of Chicago ,,,,"July 1, 2026 ","Energy, microeconomics, marketing, climate change ",,,,,"Projects include research on the Economics of the Global Energy Challenge, including the estimation of energy demand and reforms to bring electricity prices closer to cost in developing countries, willingness to pay for clean air, emissions market design and regulation, the damages of climate change, and adaptation to its impacts. ","September 21, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Research Professional,https://bit.ly/4ppheGR,,The Becker Friedman Institute for Economics (BFI) ,Ongoing and new research projects related to theoretical and applied econometrics with a focus on causal inference. ,Rolling ,,,,,,,,,,Professor Alex Torgovitsky ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Research Professional,https://bit.ly/41XgkaB,Josh Gottlieb and Matt Notowidigdo , Becker Friedman Institute for Economics ,Health economics ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Study Coordinator/Lab Manager,https://bit.ly/4giGIBI,George Buzzell , Florida International University ,Behavioral Science ,N/A (applications accepted on rolling basis) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Full-Time Research Professional (Pre-Doctoral),https://bit.ly/3JTnO8y,"Leland Bybee, Emanuele Colonnelli, Steve Kaplan, Yueran Ma, Scott Nelson, Lubos Pastor, Suproteem Sarkar, Taisiya Sikorskaya, Amir Sufi, Anthony Lee Zhang, Eric Zwick and other finance faculty ","University of Chicago Booth School of Business, Fama-Miller Center for Research in Finance ",Financial Economics ,"October 31, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pre-Doctoral Research Fellows,https://bit.ly/4mYTNm6,Will Dobbie and Crystal Yang ,Harvard University ,,Applications are reviewed on a rolling basis until all positions are filled. ,,,"Microeconomics, Education, Public Policy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Pre-Doctoral Research Fellow,https://stanford.io/4nk4kZD,Matthew Gentzkow ,Stanford University ,Applied microeconomics ,,,,,,,,,,,,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Empirical Research Fellow,https://bit.ly/4gCsQ5H,Alison D. Morantz and John J. Donohue ,Stanford Law School ,"Microeconomics, labor, public economics ","October 21st, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pre-Doctoral Research Associate in Economics at the Chair of Globalization and Labor Markets,https://bit.ly/4pcDS5f,David Dorn ,"Department of Economics, University of Zurich ","Labor Economics, Microeconomics ","12th of October for applications, 19th of October for letters of recommendation ",,,,,,,,,,,,Q1 2026 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Research Professional-Macro Finance Research Program,https://job-boards.greenhouse.io/universityofchicago/jobs/7142008003,"Professor Lars Peter Hansen, The Macro Finance Research (MFR) Program ",Becker Friedman Institute for Economics at the University of Chicago (BFI) ,"Macroeconomics, financial economics, financial markets, statistics ",Applications will be considered on a rolling basis ,,"April - July, 2026 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RPDE-Pre-Doctoral Fellows/Research Specialists,https://bit.ly/4ghqhFL,"Economists Pascaline Dupas, Thomas Fujiwara, Allan Hsiao, Seema Jayachandran, and Mica Sviatschi ", Princeton’s School of Public & International Affairs ,,"Applications will be reviewed on a rolling basis beginning September 15th until positions are filled and as such, we encourage applicants to apply early. ",,,"Economics, Econometrics and Statistics, Public Policy ",,,,,,,,,Start in summer 2026 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Research Professional,https://bit.ly/4nje1a2,: Entrepreneurship Research Lab (Emanuele Colonnelli)  , The University of Chicago Booth School of Business ,": Finance, Entrepreneurship ",": September 30th, rolling review ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Research Professional,https://bit.ly/4nrhgfQ,Emanuele Colonnelli ,The University of Chicago Booth School of Business ,Finance ,"September 30th, rolling review ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Research Assistants,https://bit.ly/468OWrn,Board of Governors of the Federal Reserve System ,The Federal Reserve ,,August 15-October 15 (deadline) ,,,"Economics, statistics, finance, data science, public policy, or related fields ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Research Assistant, Economic Studies Program",https://bit.ly/47vHQ2B,We are recruiting for multiple centers in the program as follows: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Predoctoral Research Fellows,https://siepr.stanford.edu/programs/siepr-predoctoral-research-fellows-program/predoctoral-fellowship-opportunities,,Stanford Institute for Economic Policy Research (SIEPR) ,,"For full consideration, please submit your application by September 19, 2025 ",,,,,,,,,,,,,,"Hunt Allcott, Marcela Alsan, Laurence Baker, Matthew Gentzkow, Allan Hsiao, Omer Karaduman, Daniel Kessler, Neale Mahoney, Grant Miller, Petra Persson, Maya Rossin-Slater, Eric Sun ","Behavioral, Data Science and Tech Innovation, Environmental, Energy, Health, Inequality, Labor, Macroeconomics, Marketing, Media and Technology, Microeconomics, Political Economy, Public Economics, Public Policy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Research Assistant in Health Economics and Applied Econometrics,https://bit.ly/3Vxyps7,Amanda Kowalski and Dave Chan , University of Michigan ,"Health, Statistics and Econometrics ",,,,,,,,,,,,,,,,,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Research Assistant,https://bit.ly/4p7XUOj,Research Department , Federal Reserve Bank of Boston ,"Economics, public policy ",,,,,,,,,,,,,June 2026 ,,,,"September 30, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pre-Doctoral Research Assistant,https://bit.ly/4nfUIyq,Shing-Yi Wang ,: University of Pennsylvania (The Wharton School) ,,: Rolling ,,,,: Development and Labor Economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pre-Doctoral Research Analyst,https://bit.ly/461Tksc,Judd Kessler and Corinne Low , University of Pennsylvania (The Wharton School) ,"Labor, Gender and Experimental Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pre-Doctoral Research Analyst,https://bit.ly/3VzixW4,Leon Musolff and Sagar Saxena , University of Pennsylvania (The Wharton School) ,Industrial Organization ,: Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pre-Doctoral Research Analyst,https://bit.ly/4nejwXB,Arthur van Benthem and Susanna Berkouwer , University of Pennsylvania (The Wharton School) ,Energy and Environmental/Development Economics ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pre-Doctoral Fellow,https://bit.ly/47VDlys,"Raj Chetty (Harvard), John Friedman (Harvard/Brown), and Nathan Hendren (Harvard/MIT) ", Opportunity Insights ,"Economics, Public Economics, Public Policy, Big Data, Statistics, Economic Mobility, Labor Markets, Econometrics, Education, Social Capital ","Wednesday, October 1, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pre-Doctoral Researcher: MIT Economics (Prof. Olken),https://bit.ly/46f3t64, Ben Olken , MIT Economics Department ,"Development Economics, Political Economy, Public Economics, Environmental Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Research Fellow: Harvard CID (Prof. Rema Hanna),https://bit.ly/4oYCO4T,Rema Hanna , Harvard Center for International Development ,"Development Economics, Political Economy, Public Economics, Environmental Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Stanford GSB Research Fellows Program,https://stanford.io/46bJDJ0,"Antonio Coppola (Finance), Matteo Maggiori (Finance), Shoshana Vasserman (Economics), Tim de Silva (Finance) ",Stanford Graduate School of Business ,"Economics, Finance ","October 17, 2025. Applications submitted after the deadline will be considered on a rolling basis. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pre-Doctoral Researcher,https://bit.ly/3JGTjSZ,Nathaniel Hendren  ,"Policy Impacts, Massachusetts Institute of Technology ","Economics, workforce/labor, macroeconomics ","The priority application deadline is Sunday, October 5, 2025 at 11:59pm ET, with applications accepted through Friday, October 31, 2025 at 11:59pm ET. ",,,,,,,,,,,,,,,,,25163 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Full-Time Research Assistant,https://bit.ly/4fSrKSF," Samuel Bazzi , Eric Chyn , Andreas Ferrara , Martin Fiszbein , Thomas Pearson , and Patrick Testa ", National Bureau of Economics Research ,"Political economy, development, and economic history ",Applications will be accepted and reviewed on a rolling basis until filled. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pre-Doctoral Researcher,https://bit.ly/4lOF8c2,Bill Evans ,"University of Notre Dame, Wilson Sheehan Lab for Economic Opportunities (LEO) ","Applied Microeconomics, Economics of Education, Health Economics, Labor Economics, Public Economics ","Sep 21, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Research Assistants,https://bit.ly/41hKULS,Board of Governors of the Federal Reserve System , Federal Reserve System ,,August 15-October 15 (deadline) ,,,,,,,,,,,,Summer 2025 ,,,"Economics, statistics, math, finance, data science, computer science, public policy ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pre-Doctoral Researcher,https://bit.ly/41RRhpl,Nina Roussille , Massachusetts Institute of Technology (MIT) ,Economics ,10/21/2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Research Assistant,https://bit.ly/4lISruy,The Family and Financial Well-Being Division seeks a research assistant (Step 1/ Research track) with a strong interest in household finance and the social safety net to join the Financial Well-Being practice area. , The Urban Institute ,"Public Policy, Economics, Statistics ",Applications accepted on a rolling basis starting immediately. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Research Professional,https://bit.ly/3HsuZ6L,"Milena Almagro, Jacob Conway, Scott Nelson, Pascal Noel, Eric Zwick ", The University of Chicago Booth School of Business ,"Microeconomics, macroeconomics, finance, behavioral economics, IO ",First review on 9/8; applications will be reviewed on a rolling basis thereafter. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Pre-Doctoral Researcher, Health Care and AI",https://bit.ly/3Jh8mTa,Nikhil Agarwal ," Blueprint Labs, MIT ","Economics, AI, Health Care ","Rolling with priority deadline of Sunday, September 21, 2025 at 11:59pm ET. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Pre-Doctoral Researcher, Workforce",https://bit.ly/4oAPLld,"Daron Acemoglu, David Autor, Simon Johnson ","Blueprint, MIT ","Economics, Workforce/Labor, Education ",,,,,,,,,,,,,,,,,"Rolling with priority deadline of Sunday, September 21, 2025 at 11:59pm ET ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Pre-Doctoral Researcher, Education",https://bit.ly/3J9XDdp,"Josh Angrist, Parag Pathak ","Blueprint Labs, MIT ","Economics, Education ","Rolling with priority deadline of Sunday, September 21, 2025 at 11:59pm ET ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Research Fellow,https://bit.ly/3HsO7kQ,Pia Caronongan ,Boston University Wheelock Educational Policy Center ,"Education Policy, Early Childhood Education, Economics of Education ",Applications accepted on a rolling basis beginning immediately. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Staff Associate I,https://bit.ly/40JSGho,Jose Scheinkman and Harrison Hong ," The Program for Economic Research (PER), Columbia University ",Environmental ,,,,,,,,,,,,,,,,,"September 19, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Research Assistant, Centre for Economic Performance",https://bit.ly/46CYflt,Professor Sandra McNally ,The Centre for Economic Performance ,"Mobility economics, education ",The closing date for receipt of applications is 24th August 2025 (23.59 UK time). ,,,,,,,,,,,,,,,,,,Eligibility to work with the confidential administrative data linkage from the UK's Department for Education in a secure data environment in the UK. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Research Associate Fellow,https://bit.ly/3IXz434,Professor Elizabeth Linos ," The People Lab, Harvard Kennedy School ","Behavioral Science, Public Policy, Economics, Statistics ","Applications will be reviewed on a rolling basis with the first review on August 14, 2025. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pre-Doctoral Research Fellow in Development Economics,https://bit.ly/44R5mp0,Prof. Dina Pomeranz ,University of Zurich ,"Development, Public Economics, Political Economy ","August 15, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Full-Time Research Associate,https://bit.ly/4l7fnDs,"Kate Orkin (University of Oxford), Rob Garlick (Duke University), Lukas Hensel (Peking University) ",,"Development, labor, applied microeconomics, behavioral science. ",ASAP - Applications accepted on a rolling basis. ,,,,,,,,,,,,,,,,,,"Right to work in South Africa (citizenship, permanent residency or critical skills visa). Please note that J-PAL Africa cannot sponsor work permits. ", J-PAL Africa and University of Oxford ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Research Professional,https://bit.ly/4feGZoX,"Professors Matthew Denes, Spyros Lagaras, and Margarita Tsoutsoura "," Carnegie Mellon University, University of Illinois Urbana Champaign, and Washington University in St. Louis ","Corporate Finance, Entrepreneurship, US Administrative Tax Data ",Rolling with priority for applications received by August 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Research Specialist,https://bit.ly/46reOAE,"Coase-Sandor Institute for Law & Economics, Multiple Law School Faculty ","Coase-Sandor Institute for Law & Economics, University of Chicago Law School ",Public Policy ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Research Specialist,https://bit.ly/3IFNDbl,,Busara Center for Behavioral Economics and Oxford University ,"Development, labor, applied microeconomics, behavioral science ","August 8, 2025 ",,,,,,,,,,"Kate Orkin (University of Oxford), Matthew Ridley (University of Warwick), Alison Andrew (University of Oxford), Nate Barker (Northwestern University), Rob Garlick (Duke University) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Empirical Research Fellows,https://bit.ly/3Ixcdev,,Northwestern University Kellogg School of Management ,"Applied microeconomics, labor economics, industrial organization, innovation, organizational economics ",Rolling (immediate start date) ,,,,,,,,,,"Shengmao Cao, Benjamin Friedrich, Ryan Hill, Sara Moreira ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pre-Doctoral Fellowship in Applied Microeconomics,https://bit.ly/3UfXp6y,,University of Michigan ,"Labor, Education, Innovation ","August 8, with rolling review thereafter ",,,,,,,,,,"Francesca Truffa (Michigan), Menaka Hampole (Yale), Ashley Wong (Barnard) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Predoctoral Research Fellow, Climate and Nature Finance",https://bit.ly/4eSbfpo,,Geneva Graduate Institute - Hoffmann Centre for Global Sustainability ,"Climate Finance, Environmental, Economics ","First review July 20, rolling review thereafter ",,,,,,Beatrice Weder di Mauro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Staff Associate - Decision, Risk, and Operations",https://bit.ly/3GupeoA,"Decision, Risk, and Operations (DRO) Division ",Columbia Business School ,"Operations Research, Operations Management, Economics, Statistics ",December 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Staff Associate - Digital Future Initiative,https://bit.ly/4lbUEz4,"DFI and Decision, Risk, and Operations (DRO) Division ",Columbia Business School ,"Economics, Statistics ","August 8, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Junior Research Scientist,https://bit.ly/4lfB7xM,NYU Stern Marketing Department (Professors Xiao Liu & Raluca Ursu) ,NYU Stern School of Business ,"Economics, Statistics, Marketing, Finance, Computer Science, Mathematics, Operations Research, Machine Learning, Physics ","Applications will be evaluated on a rolling basis, with applications submitted by July 16 receiving full consideration. ",,,,,,,,,,,,,,,,,,"While we cannot explicitly promise a successful visa sponsorship to any applicant, we are absolutely willing and open to consider all candidates, including international students. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Policy Associate, Agriculture",https://bit.ly/40BRWum,Michael Kremer , Development Innovation Lab at the University of Chicago ,Agriculture and food safety; development economics; climate change; and public policy ,Rolling ,,,,,,,,,,,,,,,,,,,,"Washington, D.C. or Chicago, Illinois ",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Research Scholar,https://bit.ly/44IoC7T,Research Scholar ,Centre for the Governance of AI ,"AI regulation, international governance, technical AI governance, economics of AI, AI risk assessment and forecasting. ",Sunday 20 July ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Technology Ethics & Policy Rising Scholars Program Research Associate,https://bit.ly/4eciJ69,," McCoy Family Center for Ethics in Society (Ethics Center), Stanford University ","Ethics, policy, society, AI governance, and technology ","First review of the applications will take place on June 25, 2025 ",,,,,,,,,,,,,,,,,,,,,PI Professor Rob Reich ,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tobin Pre-Doctoral Fellowship,https://bit.ly/4kRXh9a,"Winnie van Dijk (Yale), John Eric Humphries (Yale), Megan Stevenson (University of Virginia), and Aurelie Ouss (University of Pennsylvania) ",Yale University ,"Public Economics, Labor Economics ",Applications will be accepted on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,Research on the US Criminal Justice System ,,,,,,,,,,,,,,,,,,,,,,,,,
66,Staff Associate,https://bit.ly/44aj2d0,"CUMC and Decision, Risk, and Operations (DRO) Division ","Columbia Business School, Columbia University ",Economics and Statistics ,"July 15, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Research Assistant (Pre-Doc) in Environmental Economics and Innovation,https://bit.ly/4lqhAKT,Eugenie Dugoua ,London School of Economics ,"Environment, Innovation, Data science and tech innovation ",26 June 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Junior Research Scientist,https://bit.ly/4jKecZP,Philipp Schnabl and Alexi Savov ,"Stern School of Business, New York University ",Finance ,Rolling; ASAP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Full-Time Research Assistant,https://bit.ly/4jMVdxE,"Simon Siegenthaler, University of Texas at Dallas ", National Bureau of Economic Research ,Behavioral Change; Institutional Change; Tipping Points ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Full-Time Research Assistant,https://bit.ly/43N14NQ,"Kyle Greenberg, Aaron Phipps, Geoffrey Schnorr, Anna Weber ",West Point (Office of Economic and Manpower Analysis) ,"Economics, Econometrics and Statistics ","Rolling. We will begin reviewing candidates starting June 16, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pre-Doctoral Research Associate,https://bit.ly/43FbnV7,Professor Livia Alfonsi ,"Negotiations, Organizations & Markets unit, Harvard Business School (HBS) ","Development economics, labor economics, marketing, sociology ",Hiring is ASAP ,,,,,,,,,,,,,,,,,,,,,,,"Prof. Alfonsi specializes in development economics, focusing on labor market frictions and the determinants of labor market participation in low-income countries. Her research focuses on identifying barriers preventing young adults and women in poor countries from successfully integrating into labor markets. ","This is a term appointment starting sometime between April 2025 and July 2025, with an expectation of reappointment until June 30, 2027, based on funding and performance. ",,,,,,,,,,,,,,,,,,,,,,,
72,Pre-Doctoral Fellowship,https://bit.ly/4k3yPRU,Professor Dell , Harvard University ,"Political economy, development economics, trade policy, and innovation ","Applicants will be accepted until June 10, 2025. ",,,,,,,,“Trade Policy and Long-Run Economic Development.” ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pre-Doctoral Research Assistant,https://bit.ly/4kwpjXa,OB Faculty ,London Business School ,Organisational Behaviour ,"May 31st, 2025 ",,,,,,,,,,,,,,,,,,,,"London, United Kingdom ",,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Project Academic Specialist (Pre-Doctoral),https://bit.ly/4mqDXAZ,Ryuichi Tanaka and Eric Weese ," Institute of Social Science, University of Tokyo ","Education, Microeconomics, Political Economy ","June. 13, 2025 ",,,,,,,,,,,,Summer or Autumn 2025 ,,,,,,,,"Tokyo, Japan ",,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Research Data Scientist,https://bit.ly/3YTppjn,," Climate Impact Lab, The Energy Policy Institute at the University of Chicago (EPIC) ","Economics, climate science, data science, computer science ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Climate Economics Pre-Doc,https://bit.ly/43n6AXf,Dr. Kyle Meng ,"Environmental Markets Lab (emLab), University of California, Santa Barbara ","Climate economics, data science ","June 2, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Pre-Doctoral Scholar,https://bit.ly/4kgM6pU,James Robinson , The Harris School of Public Policy at the University of Chicago ,"Psychology, marketing, behavioral economics, decision science, organizational behavior, and management studies ",Rolling ,,,,,,,,,,,,,,,,,,,,"Chicago, Illinois ",,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Economic Research Specialist,https://bit.ly/438l0dz,"Treb Allen (Economics), Davin Chor (Tuck School of Business), and Yang-Yang Zhou (Government) ",Dartmouth University ,International economics ,"Review of applications will begin 13 May 2025, and will continue until the position is filled. ",,,,,,,,,,,,,,,,,,,,,,,,,The Challenges and Opportunities of Globalization ,,,,,,,,,,,,,,,,,,,,,,
