,Job Title,Link,Sponsoring Researcher(s),Sponsoring Institution,Fields of Research,Deadline,Visa,Sponsoring Institution(s),Sponsoring Researchers,Sponsoring Researcher,,Location,McCoy Family Center for Ethics in Society Research AssociateSponsoring Researcher(s),Project Title,Start Date,Research Scope,Term,Project,Group Specialization,Field of Research,Project Scope,Fields of research,Fields,Next review date,Time Period,Note,Field(s) of Research,Job#,Reference #,Sponsoring,Researcher(s),Job #,Application Deadline,Faculty Focus,Deadline/First Review Date,Priority Consideration Review Date,Deadline/First review date,Job Description,Sponsoring Institutions,Research Topics,Deadline for applications,.,Application Period,First Review,Sponsoring Researcher(s,Job ID,Institution,Requisition ID,First Review Date,Job Reference ID
13,Junior Research Scientist,https://bit.ly/4lfB7xM,NYU Stern Marketing Department (Professors Xiao Liu & Raluca Ursu) ,NYU Stern School of Business ,"Economics, Statistics, Marketing, Finance, Computer Science, Mathematics, Operations Research, Machine Learning, Physics ","Applications will be evaluated on a rolling basis, with applications submitted by July 16 receiving full consideration. ","While we cannot explicitly promise a successful visa sponsorship to any applicant, we are absolutely willing and open to consider all candidates, including international students. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Policy Associate, Agriculture",https://bit.ly/40BRWum,Michael Kremer , Development Innovation Lab at the University of Chicago ,Agriculture and food safety; development economics; climate change; and public policy ,Rolling ,,,,,,"Washington, D.C. or Chicago, Illinois ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Research Scholar,https://bit.ly/44IoC7T,Research Scholar ,Centre for the Governance of AI ,"AI regulation, international governance, technical AI governance, economics of AI, AI risk assessment and forecasting. ",Sunday 20 July ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Technology Ethics & Policy Rising Scholars Program Research Associate,https://bit.ly/4eciJ69,," McCoy Family Center for Ethics in Society (Ethics Center), Stanford University ","Ethics, policy, society, AI governance, and technology ","First review of the applications will take place on June 25, 2025 ",,,,,,,PI Professor Rob Reich ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tobin Pre-Doctoral Fellowship,https://bit.ly/4kRXh9a,"Winnie van Dijk (Yale), John Eric Humphries (Yale), Megan Stevenson (University of Virginia), and Aurelie Ouss (University of Pennsylvania) ",Yale University ,"Public Economics, Labor Economics ",Applications will be accepted on a rolling basis. ,,,,,,,,Research on the US Criminal Justice System ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Staff Associate,https://bit.ly/44aj2d0,"CUMC and Decision, Risk, and Operations (DRO) Division ","Columbia Business School, Columbia University ",Economics and Statistics ,"July 15, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Research Assistant (Pre-Doc) in Environmental Economics and Innovation,https://bit.ly/4lqhAKT,Eugenie Dugoua ,London School of Economics ,"Environment, Innovation, Data science and tech innovation ",26 June 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Junior Research Scientist,https://bit.ly/4jKecZP,Philipp Schnabl and Alexi Savov ,"Stern School of Business, New York University ",Finance ,Rolling; ASAP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Economist,https://bit.ly/3HBqiqL,"Dr. Allen Sinai, Chief Economist and Strategist ", Decision Economics ,Macroeconomics ,Rolling; ASAP ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Full-Time Research Assistant,https://bit.ly/4jMVdxE,"Simon Siegenthaler, University of Texas at Dallas ", National Bureau of Economic Research ,Behavioral Change; Institutional Change; Tipping Points ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Research Professional,https://bit.ly/452fADx,Bradford Levy  ,The University of Chicago Booth School of Business ,Applied AI and Machine Learning; Accounting; Finance ,"June 30, 2025. ",,,,,,,,,July/August/September 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Full-Time Research Assistant,https://bit.ly/43N14NQ,"Kyle Greenberg, Aaron Phipps, Geoffrey Schnorr, Anna Weber ",West Point (Office of Economic and Manpower Analysis) ,"Economics, Econometrics and Statistics ","Rolling. We will begin reviewing candidates starting June 16, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pre-Doctoral Research Associate,https://bit.ly/43FbnV7,Professor Livia Alfonsi ,"Negotiations, Organizations & Markets unit, Harvard Business School (HBS) ","Development economics, labor economics, marketing, sociology ",Hiring is ASAP ,,,,,,,,,,"Prof. Alfonsi specializes in development economics, focusing on labor market frictions and the determinants of labor market participation in low-income countries. Her research focuses on identifying barriers preventing young adults and women in poor countries from successfully integrating into labor markets. ","This is a term appointment starting sometime between April 2025 and July 2025, with an expectation of reappointment until June 30, 2027, based on funding and performance. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pre-Doctoral Fellowship,https://bit.ly/4k3yPRU,Professor Dell , Harvard University ,"Political economy, development economics, trade policy, and innovation ","Applicants will be accepted until June 10, 2025. ",,,,,,,,,,,,“Trade Policy and Long-Run Economic Development.” ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pre-Doctoral Research Assistant,https://bit.ly/4kwpjXa,OB Faculty ,London Business School ,Organisational Behaviour ,"May 31st, 2025 ",,,,,,"London, United Kingdom ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Project Academic Specialist (Pre-Doctoral),https://bit.ly/4mqDXAZ,Ryuichi Tanaka and Eric Weese ," Institute of Social Science, University of Tokyo ","Education, Microeconomics, Political Economy ","June. 13, 2025 ",,,,,,"Tokyo, Japan ",,,Summer or Autumn 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Research Data Scientist,https://bit.ly/3YTppjn,," Climate Impact Lab, The Energy Policy Institute at the University of Chicago (EPIC) ","Economics, climate science, data science, computer science ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Climate Economics Pre-Doc,https://bit.ly/43n6AXf,Dr. Kyle Meng ,"Environmental Markets Lab (emLab), University of California, Santa Barbara ","Climate economics, data science ","June 2, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pre-Doctoral Scholar,https://bit.ly/4kgM6pU,James Robinson , The Harris School of Public Policy at the University of Chicago ,"Psychology, marketing, behavioral economics, decision science, organizational behavior, and management studies ",Rolling ,,,,,,"Chicago, Illinois ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Economic Research Specialist,https://bit.ly/438l0dz,"Treb Allen (Economics), Davin Chor (Tuck School of Business), and Yang-Yang Zhou (Government) ",Dartmouth University ,International economics ,"Review of applications will begin 13 May 2025, and will continue until the position is filled. ",,,,,,,,,,,,,The Challenges and Opportunities of Globalization ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pre-Doctoral Research Associate in Economics at the Chair of Globalization and Labor Markets,https://bit.ly/42QER1V,David Dorn ,"Department of Economics, University of Zurich ","Labor Economics, Microeconomics ",30th June 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pre-Doctoral Fellow,https://bit.ly/4ddx95t,Suzanna Khalifa ,Sciences Po Paris ,"Economics, Development, Labor, Behavioural Sciences ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Postgraduate Associates (Pre-Docs),https://bit.ly/43i6GQT,"OB faculty (some faculty may include Beth Anne Helgason, David Munguia Gomez, Erin Frey, Jennifer Dannals, Laura Adler, and Minjae Kim) ",Organizational Behavior (OB) group at Yale School of Management ,,Application review will begin immediately and continue on a rolling basis thereafter until the position is filled. Short-listed applicants will be asked to complete a data or technical exercise and may be invited to interview. ,,,,,,,,,Summer 2025 ,,,,,"Sociology, psychology, behavioral science, statistics, behavioral economics ","Research related to the future of work, ethics, decision-making, cultural stereotypes, discrimination and inequality in the workplace. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Research Assistant,https://bit.ly/4d9NrfW,,"Arthur Lewis Lab for Comparative Development, University of Manchester ",,,,,,"Nuno Palma, Department of Economics ",,"Oxford Road, Manchester ",,,"August 1, 2025 ",,,,,,,"Economic history, comparative development ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Research Associate,https://bit.ly/4jBbVRq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pre-Doctoral Research Fellows,https://bit.ly/4iSeaPl,Professor Gordon Hanson and Professor Dani Rodrik , Harvard Kennedy School ,"Inequality, labor market outcomes, microeconomics, energy, public policy, and political science ","The final application deadline is May 23, 2025. ",,,,,,,,The Reimagining the Economy Project ,Summer 2025 ,,,,,,"The project entails constructing and analyzing novel data on the factors that make regional economies prosperous and resilient to economic shocks and the effectiveness of industrial, place-based, and other policies in helping regions adjust to adverse changes in economic conditions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Junior Research Scientist,https://bit.ly/4cWMZRP,"Sinja Leonelli, Irina Luneva, Gurpal Sran, and Aleksander Aleszczyk ",NYU Stern School of Business ,Accounting ,Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Junior Specialist (Predoc),https://bit.ly/43ctuS4,Cailin Slattery ," Center for Effective Global Action (CEGA), University of California, Berkeley ",,"Friday, May 30, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,Fall 2025 ,,,,,,,,"Infrastructure economics and financing, public policy ","Wednesday, May 14, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,,,,,,,,
41,Geospatial Data Scientist Consultant,https://bit.ly/3RLY3aW,,: Yale Economic Growth Center; Yale Inclusion Economics ,": Development economics, data science, environment, statistics ",: Rolling ,,,,,,Remote ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pre-Doctoral Research Associate (Development Economics),https://bit.ly/4jDHES6, Duncan Webb ," NovaSBE, Lisbon ","Development, Behavioral Science, Health ",15th May 2025 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pre-Doctoral Fellow,https://bit.ly/4lVCqmo,Dr. Sadegh Eshaghnia ,The Center for the Economics of Human Development ,"Inequality, public policy and intervention, applied microeconomics, econometrics ",Rolling ,,,,,,,, Origins of Persistence of Inequality in Denmark  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Research Associate (Pre-Doc),https://bit.ly/3RG7Or0, Fed economists , Federal Reserve Bank of St. Louis ,"Economics, econometrics, finance ",30 May 2025 midnight UTC ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pre-Doctoral Research Fellow,https://bit.ly/4cW2MQY,"Dr. Simone Schaner, Associate Professor (Research) of Economics and fellows/staff at Yale University and Inclusion Economics- India ","Center for Economic and Social Research (CESR),The University of Southern California (USC) ","Development economics, applied econometrics, digital technology and policy, gender ",Rolling ,,,,,,"The Fellow will be based at USC, with travel to India and Sub-Saharan Africa. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pre-Doctoral Data Research Specialist,https://bit.ly/44BgIO5,"John Eric Humphries (Yale), Aurélie Ouss (Upenn), Megan Stevenson (UVA Law),  Winnie van Dijk (Yale) ",University of Pennsylvania ,"Public policy, public economics, criminal justice ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Research Manager, Criminal Justice",https://bit.ly/4cJ1Hfg,Researcher Alissa Skog; Research Director Dr. Johanna Lacoe; CRPC Principal Investigators; CRPC Legal Director; and CPL research staff. ,,"Public policy and sociology (homelessness, poverty, criminal justice reform, and education inequality) ",Rolling ,, California Policy Lab ,,,,,,,,,,,,,CPL is the research partner for the Committee on Revision of the Penal Code (CRPC). The Committee is a state entity that studies and recommends changes to all aspects of California’s criminal laws — from policing to sentencing to reentry and more.The Research Manager is the day-to-day project manager on CRPC projects. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Pre-Doctoral Associate,https://bit.ly/3GrVh82,, University of Chicago Trust; Development Innovation Lab-India ,"Development economics, health, education, agriculture, climate change ",Rolling ,,,,,,"Project locations are Bhubaneshwar, Vijayawada, Delhi, Bangalore ",,,The anticipated start date for this position is between June-July 2025. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Predoctoral Research Assistant – Computational Social Science,https://bit.ly/4jhnqgE,MSR NYC Computational Social Science group , Microsoft Research ,Computational social science ,Applications are reviewed on a rolling basis ,,,,,,,,,,,,,,,,,,,"Start by June 30, 2025 and end date in July or August 2026 ",,,,,,,,,,,,,,,,,,,,,,,,,
50,Research Analyst Positions in Financial Economics (Full-Time),https://bit.ly/4ihAWj7,Alexander Ljungqvist ,Stockholm School of Economics ,,"April 26, 2025 ",,,,,,,,,,,,,,,,Finance ,,,,A US 4-year bachelor's degree is comparable to a one-year master's in Europe. ,,,,,,,,,,,,,,,,,,,,,,,,
51,Junior Research Scientist,https://bit.ly/43ZlUeC,Petra Moser and Jacob French ,"Department of Economics, NYU Stern School of Business ","Applied Microeconomics, Economic History, Labor, Innovation ",Applications will be evaluated on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pre-Doctoral Fellowship,https://bit.ly/3GdN87l,Prof Breza and Viviano ,Harvard University ,Development economics and econometrics ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Junior Research Scientist,https://bit.ly/3Gdj4bR,Giulia Brancaccio and Felix Montag ,New York University Stern School of Business ,,Rolling basis (first review 30 April) ,,,,,,,,,"A start date of September 2025 is preferred, but negotiable. ",,,,,Industrial Organization and International Trade ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pre-Doctoral Research Associate,https://stanford.io/4cyHfxn, Erik Brynjolfsson , Stanford Institute for Economic Policy Research (SIEPR) ,"Economics, Data Science and Tech Innovation, Labor ",Applications will be accepted and reviewed on a rolling basis. The position will remain open until filled. ,,,,,,,,,"July 7, 2025 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pre-Doc Research Assistant Programme,https://bit.ly/3GmRMjd,,"London Business School, University of London ","Behavioral science, data science and tech innovation, sociology/political science ","May 20, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pre-Doctoral Fellow,https://bit.ly/3EnX25I,Bruce D. Meyer ,"University of Chicago, Harris School of Public Policy ",,Applications will be reviewed on a rolling basis. ,,,,,,,,,Summer/Fall 2025 ,,,,,,,,,,,,"Economics (Labor, Urban, and Public Economics), Data Science and Tech Innovation, and Public Policy ",,,,,,,,,,,,,,,,,,,,,,,
57,Data Analyst I,https://bit.ly/3EoNgjC,," Department of Political Science, MIT ",Computational techniques; data models and operations infrastructure; political science ,Applications are reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,24883-6 ,,,,,,,,,,,,,,,,,,,,,,
58,Junior/Assistant Specialist,https://bit.ly/4jxj6d7,Professor David Broockman ,"The Center for the Study of American Democracy, Travers Department of Political Science at UC Berkeley ","Research on political institutions, political behavior, and political economy in the United States. ","Wednesday, Apr 30, 2025 at 11:59pm (Pacific Time) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Research Assistant,https://bit.ly/3Epugl1,Clément de Chaisemartin ,Sciences Po-Paris ,Economics; Econometrics ,3 May 2025 - 23:59 (Europe/Paris) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pre-Doctoral Research Associate,https://bit.ly/4jHBP6J,Paul A. Gompers ,Harvard Business School ,Entrepreneurship and Finance ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pre-Doctoral Research Assistant,https://bit.ly/4lrhTWA,Assistant Professor Amanda Dahlstrand (Zurich); Postdoc Shan Huang (Stockholm); and Associate Professor Guy Michaels (London School) ,University of Zurich ,,"April 30, 2025 ",,,,,,"Stockholm, Sweden ",,,,,,,,,,,,,,,Healthcare; Digitization and Tech; Econometrics; Applied Economics ,,,,,,,,,,,,,,,,,,,,,,,
62,Post-Graduate Associate,https://bit.ly/4jgW89T,Associate Professor of Government and PRL Director Sean Westwood , Dartmouth College ,Data science and computational social science research projects focused on understanding elections and democracy. ,"Review will start immediately (April 1, 2025) and will continue until the position is filled. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pre-Doc Research Analyst,https://bit.ly/4df8Kf4,"Joseph Gyourko, Gilles Duranton, Todd Sinai, Fernando Ferreira, Maisy Wong, Ben Keys, Jessie Handbury, Nina Harari, Sophie Calder-Wang ", Wharton Real Estate Center ,"Applied Microeconomics, real estate, urban economics, household finance, public finance, industrial organization, development ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,JR00094334 ,,,,,,,,,,,,,,,,,,,,,
64,Pre-Doctoral Fellowship in Economics of Education,https://bit.ly/4hF30wM,," Department of Economics, University of Toronto ","Applied Microeconomics, Education ","Rolling, with a start date of June 2025. ",Work authorization in Canada is required. ,,,,,,,,,,,,,,,,,,,,,,, ,"Profs. Gustavo Bobonis, Raissa Fabregas, Orlando Sotomayor, Román Andrés Zárate and Philip Oreopoulos ",,,,,,,,,,,,,,,,,,,
65,Staff Associate,https://bit.ly/4kPBK1i,Economics Division ,Columbia Business School  ,,: Rolling ,,,,,,,,,,,,,,,,,: Economics ,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Pre-Doctoral Researcher,https://bit.ly/4iHCB2J,Professor Jacob Moscona ,The Massachusetts Institute of Technology ,"Development, Environmental/Climate Change, Innovation, Political Economy, and Trade ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,24844 ,,,,,,,,,,,,,,,,,,
67,Pre-Doctoral Fellowship in Applied Microeconomics,https://bit.ly/3FGz8mk,Prof. Eva Vivalt ," Department of Economics, University of Toronto ","Applied Microeconomics, Cash Transfers, Evidence-Based Decision-Making ","March 31, 2025, with a start date of Summer 2025 ",Work authorization in Canada is required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Junior Research Scholar (Pre-Doctoral Fellowship),https://bit.ly/3FHvEjp,Professors Paolo Martellini and Abdou Ndiaye ,The NYU Stern Department of Economics ,"Macroeconomics and related fields (labor, public finance, firm dynamics, and urban economics) ",Applications will be evaluated on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Research Analyst,https://bit.ly/4huZWTD,CEHD’s research is guided by Nobel laureate James J. Heckman to include a comprehensive array of interrelated and interdisciplinary projects and initiatives which promote a thorough empirical understanding of human flourishing. ,Center for the Economics of Human Development (CEHD) ,,,,,,,,,,,,,,,,,,,,,,,Economics; econometrics; health; public policy ,,,,,,Rolling ,,,,,,,,,,,,,,,,,
70,Research Assistant,https://bit.ly/3XUdOQn,Staff economists , Federal Reserve Bank of Chicago ,"Micro and macroeconomics, finance, regional economics, insurance markets, and economic inequality and inclusion. ",Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Junior Research Scientist,https://bit.ly/3FwtkvG,,,,Rolling ,," Management & Organizations Department, NYU Stern School of Business ",,,,,,,,,,,,,,,Management & Operations ,,,,,,,,,,,Corporate social responsibility; demographics and inequality; entrepreneurship; interpersonal relationships; technology and innovation; the future of work; etc. ,,,,,,,,,,,,,,,,
72,Research Professional,https://bit.ly/4kPP6KP,Dr. Joshua Conrad Jackson ,The University of Chicago Booth School of Business ,Behavioral Science ,"Rolling review, initial full review April 1st. ",,,,,,,,,,,,,,,"Research on how culture and history influence human behavior and cognition, including moral psychology, religious belief and ritual, emotion, political ideology, social norms, and language. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Junior Research Scientist,https://bit.ly/3Duauoj,Professors Peter Koudijs and Amanda Dos Santos ,Leonard N. Stern School of Business: Finance Department ,Finance ,"Mar 31, 2025 at 11:59 PM Eastern Time ",,,,,,,,,,,,,,,"Research topics include emerging market debt dynamics, financial strategies of multinational firms, and global capital flows. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pre-Doctoral Fellow in Economics and Applied Machine Learning with a Focus on Developing Countries,https://bit.ly/4kO1vio,David Yanagizawa-Drott , University of Zurich ,"Development, Data Science and Tech Innovation, Machine Learning, Political Economy, Public Policy ",,,,,,,,,,,,,"Cutting-edge research exploring the role of AI technologies in lower-middle-income countries, with a focus on Sub-Saharan Africa (Ghana, Tanzania, Kenya) ",,,,,,,,,,,,,,,,,"Applications are reviewed on a rolling basis, with first full review on March 24. ",,,,,,,,,,,,,,,
75,Full-Time Research Assistant,https://bit.ly/3DK1qLT,Abhishek Nagaraj ,National Bureau of Economic Research ,"Technological Change; Research and Development, Agricultural and Natural Resource Economics; Environmental and Ecological Economics ",Rolling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,IRiSS Pre-Doctoral Researchers,https://bit.ly/4bGC7XI," Jeffrey Hancock, José Ignacio Cuesta, Jens Hainmueller, Neil Malhotra, Douglas Rivers, Scott Sagan, Johannes Eichstaedt, Michael Frank, Jeremy Freese, David Grusky ",Stanford University – Institute for Research in the Social Sciences ,"Communication, Economics, Political Science, Psychology, Sociology ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 17 ,,,,,,,,,,,,,,
77,Pre-Doctoral Researcher,https://bit.ly/4bxrBSt,Professors Andrew Garin and Felix Koenig , Carnegie Mellon University: Heinz College ,Labor ,Applications will be accepted and reviewed on a rolling basis. ,,,,,,,,,,,,,,,Projects about the economics of labor markets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Research Professional,https://bit.ly/3DiUoha,Sanjog Misra ,The University of Chicago Center for Applied AI ,"Economics, Machine Learning, Computer Science ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 21, 2025 ",,,,,,,,,,,,,
